FundID,ISIN,CUSIP,Ticker,SEDOL,Basket Shares,Currency,Country Restriction,Trade Country,IDENTIFIER,CIN,SSC_ASSET_ID,ROUND LOT,TIP FACTOR,PAR,INTEREST RATE,MATURITY DATE,FUND TICKER,FUND NAME,BASKET DATE,CORPORATE ACTION FACTOR,INTEREST FACTOR,SUPPRESSPRICE,SUPPLEMENTAL_ID_1,SUPPLEMENTAL_ID_2,RIC,BBG,DERIV_TYPE
HRQP,,,AAPL,,-52,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AAPL..C265.20260320,,AAPL  260320C00265000,AAPL US 03/20/26 C265 EQUITY,OP
HRQO,,,AAPL,,-509,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AAPL..C270.20260320,,AAPL  260320C00270000,AAPL US 03/20/26 C270 EQUITY,OP
HRCL,,,ABBV,,-3,USD,N,US,,,,,,,,,,,,,,,EO.US.US.ABBV..C225.20260220,,ABBV  260220C00225000,ABBV US 02/20/26 C225 EQUITY,OP
HRCL,,,ABBV,,-2,USD,N,US,,,,,,,,,,,,,,,EO.US.US.ABBV..C235.20260220,,ABBV  260220C00235000,ABBV US 02/20/26 C235 EQUITY,OP
HRCL - TD,,,ABBV,,-3,USD,N,US,,,,,,,,,,,,,,,EO.US.US.ABBV..P200.20260220,,ABBV  260220P00200000,ABBV US 02/20/26 P200 EQUITY,OP
HRCL - TD,,,ABBV,,-3,USD,N,US,,,,,,,,,,,,,,,EO.US.US.ABBV..P207-5.20260220,,ABBV  260220P00207500,ABBV US 02/20/26 P207.5 EQUITY,OP
HRCL,,,ABBV,,-6,USD,N,US,,,,,,,,,,,,,,,EO.US.US.ABBV..C235.20260306,,ABBV  260306C00235000,ABBV US 03/06/26 C235 EQUITY,OP
HRCL - TD,,,ABBV,,-7,USD,N,US,,,,,,,,,,,,,,,EO.US.US.ABBV..P215.20260306,,ABBV  260306P00215000,ABBV US 03/06/26 P215 EQUITY,OP
HRVG,,,ABNB,,-29,USD,N,US,,,,,,,,,,,,,,,EO.US.US.ABNB..C132.20260220,,ABNB  260220C00132000,ABNB US 02/20/26 C132 EQUITY,OP
HRTH,,,ABT,,-733,USD,N,US,,,,,,,,,,,,,,,EO.US.US.ABT..C122.20260220,,ABT   260220C00122000,ABT US 02/20/26 C122 EQUITY,OP
HR21,,,ACN,,-170,USD,N,US,,,,,,,,,,,,,,,EO.US.US.ACN..C282-5.20260220,,ACN   260220C00282500,ACN US 02/20/26 C282.5 EQUITY,OP
HRT9,,,ACN,,-129,USD,N,US,,,,,,,,,,,,,,,EO.US.US.ACN..C282-5.20260220,,ACN   260220C00282500,ACN US 02/20/26 C282.5 EQUITY,OP
HRQ3,,,AEM,,-87,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.AEM..C315.20260320,,AEM   260320C00315000,AEM CN 03/20/26 C315. Equity,OP
HRQM,,,AEM,,-24,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.AEM..C320.20260320,,AEM   260320C00320000,AEM CN 03/20/26 C320. Equity,OP
HRQ1,,,AEM,,-334,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.AEM..C320.20260320,,AEM   260320C00320000,AEM CN 03/20/26 C320. Equity,OP
HRCL,,,AMAT,,-2,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMAT..C350.20260220,,AMAT  260220C00350000,AMAT US 02/20/26 C350 EQUITY,OP
HRCL,,,AMAT,,-2,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMAT..C365.20260220,,AMAT  260220C00365000,AMAT US 02/20/26 C365 EQUITY,OP
HRCL - TD,,,AMAT,,-3,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMAT..P285.20260220,,AMAT  260220P00285000,AMAT US 02/20/26 P285 EQUITY,OP
HRCL - TD,,,AMAT,,-3,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMAT..P300.20260220,,AMAT  260220P00300000,AMAT US 02/20/26 P300 EQUITY,OP
HRCL,,,AMAT,,-3,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMAT..C375.20260306,,AMAT  260306C00375000,AMAT US 03/06/26 C375 EQUITY,OP
HRCL - TD,,,AMAT,,-3,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMAT..P280.20260306,,AMAT  260306P00280000,AMAT US 03/06/26 P280 EQUITY,OP
HR21,,,AMD,,-110,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMD..C240.20260220,,AMD   260220C00240000,AMD US 02/20/26 C240 EQUITY,OP
HRQF,,,AMD,,-779,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMD..C240.20260220,,AMD   260220C00240000,AMD US 02/20/26 C240 EQUITY,OP
HRQP,,,AMD,,-36,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMD..C240.20260220,,AMD   260220C00240000,AMD US 02/20/26 C240 EQUITY,OP
HRQP,,,AMD,,-23,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMD..C257-5.20260220,,AMD   260220C00257500,AMD US 02/20/26 C257.5 EQUITY,OP
HRQF,,,AMD,,-451,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMD..C215.20260306,,AMD   260306C00215000,AMD US 03/06/26 C215 EQUITY,OP
HRQF,,,AMD,,-857,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMD..C210.20260320,,AMD   260320C00210000,AMD US 03/20/26 C210 EQUITY,OP
HRQP,,,AMD,,-59,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMD..C210.20260320,,AMD   260320C00210000,AMD US 03/20/26 C210 EQUITY,OP
HRT9,,,AMZN,,-188,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMZN..C235.20260220,,AMZN  260220C00235000,AMZN US 02/20/26 C235 EQUITY,OP
HRQP,,,AMZN,,-34,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMZN..C240.20260220,,AMZN  260220C00240000,AMZN US 02/20/26 C240 EQUITY,OP
HRQB,,,AMZN,,-122,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMZN..C245.20260220,,AMZN  260220C00245000,AMZN US 02/20/26 C245 EQUITY,OP
HRQD,,,AMZN,,-672,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMZN..C245.20260220,,AMZN  260220C00245000,AMZN US 02/20/26 C245 EQUITY,OP
HRQP,,,AMZN,,-23,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMZN..C247-5.20260220,,AMZN  260220C00247500,AMZN US 02/20/26 C247.5 EQUITY,OP
HRCL,,,AMZN,,-3,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMZN..C252-5.20260220,,AMZN  260220C00252500,AMZN US 02/20/26 C252.5 EQUITY,OP
HRCL,,,AMZN,,-2,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMZN..C260.20260220,,AMZN  260220C00260000,AMZN US 02/20/26 C260 EQUITY,OP
HRQB,,,AMZN,,-137,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMZN..C220.20260306,,AMZN  260306C00220000,AMZN US 03/06/26 C220 EQUITY,OP
HRQD,,,AMZN,,-797,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMZN..C220.20260306,,AMZN  260306C00220000,AMZN US 03/06/26 C220 EQUITY,OP
HRCL,,,AMZN,,-5,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMZN..C225.20260306,,AMZN  260306C00225000,AMZN US 03/06/26 C225 EQUITY,OP
HRCL - TD,,,AMZN,,-6,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMZN..P185.20260306,,AMZN  260306P00185000,AMZN US 03/06/26 P185 EQUITY,OP
HRQB,,,AMZN,,-166,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMZN..C215.20260320,,AMZN  260320C00215000,AMZN US 03/20/26 C215 EQUITY,OP
HRQD,,,AMZN,,-713,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMZN..C215.20260320,,AMZN  260320C00215000,AMZN US 03/20/26 C215 EQUITY,OP
HRQP,,,AMZN,,-60,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMZN..C215.20260320,,AMZN  260320C00215000,AMZN US 03/20/26 C215 EQUITY,OP
HR21,,,ANET,,-283,USD,N,US,,,,,,,,,,,,,,,EO.US.US.ANET..C145.20260220,,ANET  260220C00145000,ANET US 02/20/26 C145 EQUITY,OP
HRTG,,,ARE,,-17,USD,N,US,,,,,,,,,,,,,,,EO.US.US.ARE..C57-5.20260220,,ARE   260220C00057500,ARE US 02/20/26 C57.5 EQUITY,OP
HRQM,,,ATD,,-73,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.ATD..C86.20260320,,ATD   260320C00086000,ATD CN 03/20/26 C86. Equity,OP
HR21,,,AVGO,,-230,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AVGO..C350.20260220,,AVGO  260220C00350000,AVGO US 02/20/26 C350 EQUITY,OP
HRT9,,,AVGO,,-181,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AVGO..C350.20260220,,AVGO  260220C00350000,AVGO US 02/20/26 C350 EQUITY,OP
HRQG,,,AVGO,,-437,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AVGO..C350.20260220,,AVGO  260220C00350000,AVGO US 02/20/26 C350 EQUITY,OP
HRQP,,,AVGO,,-25,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AVGO..C350.20260220,,AVGO  260220C00350000,AVGO US 02/20/26 C350 EQUITY,OP
HRCL,,,AVGO,,-1,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AVGO..C362-5.20260220,,AVGO  260220C00362500,AVGO US 02/20/26 C362.5 EQUITY,OP
HRCL,,,AVGO,,-2,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AVGO..C367-5.20260220,,AVGO  260220C00367500,AVGO US 02/20/26 C367.5 EQUITY,OP
HRCL - TD,,,AVGO,,-2,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AVGO..P295.20260220,,AVGO  260220P00295000,AVGO US 02/20/26 P295 EQUITY,OP
HRCL - TD,,,AVGO,,-2,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AVGO..P300.20260220,,AVGO  260220P00300000,AVGO US 02/20/26 P300 EQUITY,OP
HRQG,,,AVGO,,-500,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AVGO..C340.20260306,,AVGO  260306C00340000,AVGO US 03/06/26 C340 EQUITY,OP
HRCL,,,AVGO,,-4,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AVGO..C390.20260306,,AVGO  260306C00390000,AVGO US 03/06/26 C390 EQUITY,OP
HRCL - TD,,,AVGO,,-4,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AVGO..P285.20260306,,AVGO  260306P00285000,AVGO US 03/06/26 P285 EQUITY,OP
HRQP,,,AVGO,,-44,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AVGO..C340.20260320,,AVGO  260320C00340000,AVGO US 03/20/26 C340 EQUITY,OP
HRQG,,,AVGO,,-481,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AVGO..C350.20260320,,AVGO  260320C00350000,AVGO US 03/20/26 C350 EQUITY,OP
HRTP,,,BAC,,-224,USD,N,US,,,,,,,,,,,,,,,EO.US.US.BAC..C53-5.20260220,,BAC   260220C00053500,BAC US 02/20/26 C53.5 EQUITY,OP
HRCL,,,BAC,,-9,USD,N,US,,,,,,,,,,,,,,,EO.US.US.BAC..C55-5.20260220,,BAC   260220C00055500,BAC US 02/20/26 C55.5 EQUITY,OP
HRCL,,,BAC,,-12,USD,N,US,,,,,,,,,,,,,,,EO.US.US.BAC..C56.20260220,,BAC   260220C00056000,BAC US 02/20/26 C56 EQUITY,OP
HRCL - TD,,,BAC,,-24,USD,N,US,,,,,,,,,,,,,,,EO.US.US.BAC..P50-5.20260220,,BAC   260220P00050500,BAC US 02/20/26 P50.5 EQUITY,OP
HRCL,,,BAC,,-25,USD,N,US,,,,,,,,,,,,,,,EO.US.US.BAC..C58.20260306,,BAC   260306C00058000,BAC US 03/06/26 C58 EQUITY,OP
HRCL - TD,,,BAC,,-29,USD,N,US,,,,,,,,,,,,,,,EO.US.US.BAC..P48.20260306,,BAC   260306P00048000,BAC US 03/06/26 P48 EQUITY,OP
HRQA,,,BAM,,-151,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.BAM..C74.20260220,,BAM   260220C00074000,BAM CN 02/20/26 C74. Equity,OP
HRQA,,,BAM,,-158,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.BAM..C70.20260320,,BAM   260320C00070000,BAM CN 03/20/26 C70. Equity,OP
HRQA,,,BCE,,-367,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.BCE..C35-5.20260320,,BCE   260320C00035500,BCE CN 03/20/26 C35.5 Equity,OP
HRQM,,,BCE,,-46,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.BCE..C35-5.20260320,,BCE   260320C00035500,BCE CN 03/20/26 C35.5 Equity,OP
HRQY,,,BCE,,-557,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.BCE..C35-5.20260320,,BCE   260320C00035500,BCE CN 03/20/26 C35.5 Equity,OP
HRQ1,,,BCE,,-1145,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.BCE..C35-5.20260320,,BCE   260320C00035500,BCE CN 03/20/26 C35.5 Equity,OP
HRQA,,,BEPC,,-223,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.BEPC..C60.20260320,,BEPC  260320C00060000,BEPC CN 03/20/26 C60. Equity,OP
HRVG,,,BKNG,,-1,USD,N,US,,,,,,,,,,,,,,,EO.US.US.BKNG..C5100.20260220,,BKNG  260220C05100000,BKNG US 02/20/26 C5100 EQUITY,OP
HRQL,,,BLSH,,-163,USD,N,US,,,,,,,,,,,,,,,EO.US.US.BLSH..C40.20260220,,BLSH  260220C00040000,BLSH US 02/20/26 C40 EQUITY,OP
HRQL,,,BLSH,,-172,USD,N,US,,,,,,,,,,,,,,,EO.US.US.BLSH..C35.20260320,,BLSH  260320C00035000,BLSH US 03/20/26 C35 EQUITY,OP
HRCJ,,,BMO,,-17,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.BMO..C192.20260220,,BMO   260220C00192000,BMO CN 02/20/26 C192. Equity,OP
HRCJ - TD,,,BMO,,-9,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.BMO..P178.20260220,,BMO   260220P00178000,BMO CN 02/20/26 P178. Equity,OP
HRCJ - TD,,,BMO,,-9,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.BMO..P180.20260220,,BMO   260220P00180000,BMO CN 02/20/26 P180. Equity,OP
HRQA,,,BMO,,-65,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.BMO..C200.20260320,,BMO   260320C00200000,BMO CN 03/20/26 C200. Equity,OP
HRQM,,,BMO,,-32,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.BMO..C200.20260320,,BMO   260320C00200000,BMO CN 03/20/26 C200. Equity,OP
HRCJ,,,BNS,,-31,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.BNS..C105.20260220,,BNS   260220C00105000,BNS CN 02/20/26 C105. Equity,OP
HRCJ - TD,,,BNS,,-32,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.BNS..P98.20260220,,BNS   260220P00098000,BNS CN 02/20/26 P98. Equity,OP
HRQA,,,BNS,,-117,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.BNS..C108.20260320,,BNS   260320C00108000,BNS CN 03/20/26 C108. Equity,OP
HRQM,,,BNS,,-61,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.BNS..C108.20260320,,BNS   260320C00108000,BNS CN 03/20/26 C108. Equity,OP
HRTH,,,BSX,,-606,USD,N,US,,,,,,,,,,,,,,,EO.US.US.BSX..C91.20260220,,BSX   260220C00091000,BSX US 02/20/26 C91 EQUITY,OP
HRQL,,,BTDR,,-268,USD,N,US,,,,,,,,,,,,,,,EO.US.US.BTDR..C17-5.20260220,,BTDR  260220C00017500,BTDR US 02/20/26 C17.5 EQUITY,OP
HRQL,,,BTDR,,-324,USD,N,US,,,,,,,,,,,,,,,EO.US.US.BTDR..C10.20260320,,BTDR  260320C00010000,BTDR US 03/20/26 C10 EQUITY,OP
HRVG,,,BYD,,-5,USD,N,US,,,,,,,,,,,,,,,EO.US.US.BYD..C87-5.20260220,,BYD   260220C00087500,BYD US 02/20/26 C87.5 EQUITY,OP
HRTP,,,C,,-83,USD,N,US,,,,,,,,,,,,,,,EO.US.US.C..C116.20260220,,C     260220C00116000,C US 02/20/26 C116 EQUITY,OP
HRCL,,,CAT,,-1,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CAT..C685.20260220,,CAT   260220C00685000,CAT US 02/20/26 C685 EQUITY,OP
HRCL,,,CAT,,-1,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CAT..C705.20260220,,CAT   260220C00705000,CAT US 02/20/26 C705 EQUITY,OP
HRCL - TD,,,CAT,,-1,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CAT..P590.20260220,,CAT   260220P00590000,CAT US 02/20/26 P590 EQUITY,OP
HRCL - TD,,,CAT,,-1,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CAT..P605.20260220,,CAT   260220P00605000,CAT US 02/20/26 P605 EQUITY,OP
HRCL,,,CAT,,-2,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CAT..C790.20260306,,CAT   260306C00790000,CAT US 03/06/26 C790 EQUITY,OP
HRCL - TD,,,CAT,,-2,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CAT..P700.20260306,,CAT   260306P00700000,CAT US 03/06/26 P700 EQUITY,OP
HRTG,,,CCI,,-13,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CCI..C90.20260220,,CCI   260220C00090000,CCI US 02/20/26 C90 EQUITY,OP
HRQ2,,,CCO,,-219,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.CCO..C170.20260220,,CCO   260220C00170000,CCO CN 02/20/26 C170. Equity,OP
HRQ1,,,CCO,,-448,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.CCO..C170.20260220,,CCO   260220C00170000,CCO CN 02/20/26 C170. Equity,OP
HRQ2,,,CCO,,-289,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.CCO..C170.20260320,,CCO   260320C00170000,CCO CN 03/20/26 C170. Equity,OP
HRQ1,,,CCO,,-509,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.CCO..C170.20260320,,CCO   260320C00170000,CCO CN 03/20/26 C170. Equity,OP
HRQL,,,CIFR,,-463,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CIFR..C19.20260220,,CIFR  260220C00019000,CIFR US 02/20/26 C19 EQUITY,OP
HRQL,,,CIFR,,-440,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CIFR..C16.20260320,,CIFR  260320C00016000,CIFR US 03/20/26 C16 EQUITY,OP
HRQL,,,CLSK,,-346,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CLSK..C14.20260220,,CLSK  260220C00014000,CLSK US 02/20/26 C14 EQUITY,OP
HRQL,,,CLSK,,-333,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CLSK..C10.20260320,,CLSK  260320C00010000,CLSK US 03/20/26 C10 EQUITY,OP
HRCJ,,,CM,,-8,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.CM..C130.20260220,,CM    260220C00130000,CM CN 02/20/26 C130. Equity,OP
HRCJ,,,CM,,-12,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.CM..C131.20260220,,CM    260220C00131000,CM CN 02/20/26 C131. Equity,OP
HRCJ - TD,,,CM,,-21,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.CM..P122.20260220,,CM    260220P00122000,CM CN 02/20/26 P122. Equity,OP
HRQA,,,CM,,-91,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.CM..C138.20260320,,CM    260320C00138000,CM CN 03/20/26 C138. Equity,OP
HRQM,,,CM,,-49,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.CM..C138.20260320,,CM    260320C00138000,CM CN 03/20/26 C138. Equity,OP
HRQ1,,,CNQ,,-1027,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.CNQ..C59.20260320,,CNQ   260320C00059000,CNQ CN 03/20/26 C59. Equity,OP
HRQR,,,CNQ,,-284,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.CNQ..C59.20260320,,CNQ   260320C00059000,CNQ CN 03/20/26 C59. Equity,OP
HRQA,,,CNQ,,-267,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.CNQ..C60.20260320,,CNQ   260320C00060000,CNQ CN 03/20/26 C60. Equity,OP
HRQM,,,CNR,,-29,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.CNR..C154.20260320,,CNR   260320C00154000,CNR CN 03/20/26 C154. Equity,OP
HRQP,,,COIN,,-12,USD,N,US,,,,,,,,,,,,,,,EO.US.US.COIN..C217-5.20260220,,COIN  260220C00217500,COIN US 02/20/26 C217.5 EQUITY,OP
HRV2,,,COIN,,-104,USD,N,US,,,,,,,,,,,,,,,EO.US.US.COIN..C250.20260220,,COIN  260220C00250000,COIN US 02/20/26 C250 EQUITY,OP
